name,url,neighborhood,cuisine,review_count,time_window
"Beach Chalet Brewery & Restaurant","http://www.opentable.com/beach-chalet-brewery-and-restaurant?p=4&sd=2014-11-14 19:30&rid=3034&pt=100,100,100,100,100&d=11/14/2014 19:00:00,11/14/2014 19:30:00,11/14/2014 20:00:00,11/14/2014 18:00:00,11/14/2014 20:30:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Sunset District","American","129 reviews",0:00
"La Taza Latin Bistro","http://www.opentable.com/la-taza-latin-bistro?p=4&sd=2014-11-14 19:30&rid=147946&pt=100,100,100,100,100&d=11/14/2014 19:15:00,11/14/2014 19:30:00,11/14/2014 19:45:00,11/14/2014 19:00:00,11/14/2014 20:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Castro","Latin American","8 reviews",0:00
"Chez Papa Bistrot","http://www.opentable.com/chez-papa-bistrot?p=4&sd=2014-11-14 19:30&rid=3280&pt=100,100,100,100,100&d=11/14/2014 18:30:00,11/14/2014 19:30:00,11/14/2014 20:00:00,11/14/2014 18:00:00,11/14/2014 20:30:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Potrero Hill / Dogpatch","French","69 reviews",0:00
"Florio","http://www.opentable.com/florio?p=4&sd=2014-11-14 19:30&rid=3377&pt=100,100,100,100,100&d=11/14/2014 19:00:00,11/14/2014 19:30:00,11/14/2014 20:00:00,11/14/2014 18:30:00,11/14/2014 20:30:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Pacific Heights","French","68 reviews",0:00
"Mangia Tutti","http://www.opentable.com/mangia-tutti?p=4&sd=2014-11-14 19:30&rid=4057&pt=100,100,100,100,100&d=11/14/2014 19:15:00,11/14/2014 19:30:00,11/14/2014 19:45:00,11/14/2014 19:00:00,11/14/2014 20:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Financial District / Embarcadero","Italian","15 reviews",0:00
"Bistro Boudin","http://www.opentable.com/bistro-boudin?p=4&sd=2014-11-14 19:30&rid=4096&pt=100,100,100,100,100&d=11/14/2014 19:15:00,11/14/2014 19:30:00,11/14/2014 19:45:00,11/14/2014 19:00:00,11/14/2014 20:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Fisherman's Wharf","American","112 reviews",0:00
"Lolinda","http://www.opentable.com/lolinda?p=4&sd=2014-11-14 19:30&rid=135919&pt=100,100,100,100,100&d=11/14/2014 18:00:00,,11/14/2014 20:45:00,11/14/2014 17:45:00,11/14/2014 21:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Mission","Steakhouse","233 reviews",2:45
"Bacco Ristorante","http://www.opentable.com/bacco-ristorante?p=4&sd=2014-11-14 19:30&rid=4243&pt=100,100,100,100,100&d=11/14/2014 19:15:00,11/14/2014 19:30:00,11/14/2014 19:45:00,11/14/2014 19:00:00,11/14/2014 20:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Noe Valley","Italian","54 reviews",0:00
"Sears Fine Food","http://www.opentable.com/sears-fine-food?p=4&sd=2014-11-14 19:30&rid=4572&pt=100,100,100,100,100&d=11/14/2014 19:15:00,11/14/2014 19:30:00,11/14/2014 19:45:00,11/14/2014 19:00:00,11/14/2014 20:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Downtown / Union Square","American","28 reviews",0:00
"South Park Cafe","http://www.opentable.com/south-park-cafe?p=4&sd=2014-11-14 19:30&rid=5641&pt=100,100,100,100,100&d=11/14/2014 19:00:00,11/14/2014 19:30:00,11/14/2014 20:00:00,11/14/2014 18:30:00,11/14/2014 20:30:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","SOMA","French","59 reviews",0:00
"DOSA on Valencia","http://www.opentable.com/dosa-on-valencia?p=4&sd=2014-11-14 19:30&rid=5825&pt=100,100,100,100,100&d=11/14/2014 19:15:00,11/14/2014 19:30:00,11/14/2014 19:45:00,11/14/2014 19:00:00,11/14/2014 20:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Mission","South Indian","91 reviews",0:00
"Fog Harbor Fish House","http://www.opentable.com/fog-harbor-fish-house?p=4&sd=2014-11-14 19:30&rid=5879&pt=100,100,100,100,100&d=11/14/2014 17:15:00,,11/14/2014 21:15:00,11/14/2014 17:00:00,11/14/2014 21:30:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Fisherman's Wharf","Seafood","112 reviews",4:00
"Chapeau","http://www.opentable.com/chapeau?p=4&sd=2014-11-14 19:30&rid=5881&pt=100,100,100,100,100&d=11/14/2014 18:15:00,,11/14/2014 20:30:00,11/14/2014 18:00:00,11/14/2014 20:45:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Richmond District","French","191 reviews",2:15
"Terzo","http://www.opentable.com/terzo?p=4&sd=2014-11-14 19:30&rid=6161&pt=100,100,100,100,100&d=11/14/2014 17:45:00,,11/14/2014 21:00:00,11/14/2014 17:30:00,11/14/2014 21:15:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Marina / Cow Hollow / Presidio","Mediterranean","100 reviews",3:15
"Il Borgo","http://www.opentable.com/il-borgo?p=4&sd=2014-11-14 19:30&rid=115873&pt=100,100,100,100,100&d=11/14/2014 19:15:00,11/14/2014 19:30:00,11/14/2014 19:45:00,11/14/2014 19:00:00,11/14/2014 20:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Civic Center / Hayes Valley / Van Ness","Italian","47 reviews",0:00
"TamashiSoul Sushi Bar","http://www.opentable.com/tamashisoul-sushi-bar?p=4&sd=2014-11-14 19:30&rid=117388&pt=100,100,100,100,100&d=11/14/2014 19:00:00,11/14/2014 19:30:00,11/14/2014 20:00:00,11/14/2014 18:30:00,11/14/2014 20:30:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Marina / Cow Hollow / Presidio","Japanese","5 reviews",0:00
"Bubble Lounge - SF","http://www.opentable.com/bubble-lounge-san-francisco?p=4&sd=2014-11-14 19:30&rid=6568&pt=100,100,100,100,100&d=,,11/14/2014 21:00:00,,11/14/2014 21:30:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Financial District / Embarcadero","Bar / Lounge / Bottle Service","10 reviews",4:01
"L'Ottavo - San Francisco","http://www.opentable.com/lottavo-san-francisco?p=4&sd=2014-11-14 19:30&rid=96835&pt=100,100,100,100,100&d=11/14/2014 19:15:00,11/14/2014 19:30:00,11/14/2014 19:45:00,11/14/2014 19:00:00,11/14/2014 20:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Downtown / Union Square","Italian","29 reviews",0:00
"Gioia Pizzeria","http://www.opentable.com/gioia-pizzeria?p=4&sd=2014-11-14 19:30&rid=100141&pt=100,100,100,100,100&d=11/14/2014 19:15:00,11/14/2014 19:30:00,11/14/2014 19:45:00,11/14/2014 19:00:00,11/14/2014 20:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Russian Hill","Italian","56 reviews",0:00
"Mazzat","http://www.opentable.com/mazzat-san-francisco?p=4&sd=2014-11-14 19:30&rid=101854&pt=100,100,100,100,100&d=11/14/2014 19:15:00,11/14/2014 19:30:00,11/14/2014 19:45:00,11/14/2014 19:00:00,11/14/2014 20:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Civic Center / Hayes Valley / Van Ness","Lebanese","27 reviews",0:00
"Outerlands","http://www.opentable.com/outerlands?p=4&sd=2014-11-14 19:30&rid=102289&pt=100,100,100,100,100&d=,,11/14/2014 21:30:00,,11/14/2014 21:45:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Sunset District","Organic","101 reviews",4:31
"Bar Tartine","http://www.opentable.com/bar-tartine?p=4&sd=2014-11-14 19:30&rid=19651&pt=100,100,100,100,100&d=11/14/2014 17:45:00,,,11/14/2014 17:30:00,&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Mission","Contemporary American","215 reviews",4:16
"Serpentine","http://www.opentable.com/serpentine?p=4&sd=2014-11-14 19:30&rid=21049&pt=100,100,100,100,100&d=11/14/2014 19:15:00,,11/14/2014 20:00:00,11/14/2014 19:00:00,11/14/2014 20:15:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Potrero Hill / Dogpatch","Contemporary American","100 reviews",0:45
"Gitane","http://www.opentable.com/gitane?p=4&sd=2014-11-14 19:30&rid=22633&pt=100,100,100,1000,1000&d=11/14/2014 19:15:00,11/14/2014 19:30:00,11/14/2014 19:45:00,11/14/2014 17:30:00,11/14/2014 22:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Financial District / Embarcadero","Spanish","85 reviews",0:00
"Opaque - Dining In The Dark","http://www.opentable.com/opaque-dining-in-the-dark?p=4&sd=2014-11-14 19:30&rid=23899&pt=100,100,100,100,100&d=11/14/2014 19:15:00,,11/14/2014 19:45:00,11/14/2014 19:00:00,11/14/2014 20:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Civic Center / Hayes Valley / Van Ness","American","50 reviews",0:30
"Poesia","http://www.opentable.com/poesia?p=4&sd=2014-11-14 19:30&rid=25075&pt=100,100,100,100,100&d=11/14/2014 19:15:00,,11/14/2014 19:45:00,11/14/2014 19:00:00,11/14/2014 20:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Castro","Italian","129 reviews",0:30
"Cafe Des Amis","http://www.opentable.com/cafe-des-amis-san-francisco?p=4&sd=2014-11-14 19:30&rid=26191&pt=100,100,100,100,100&d=11/14/2014 18:30:00,11/14/2014 19:30:00,11/14/2014 19:45:00,11/14/2014 18:15:00,11/14/2014 20:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Marina / Cow Hollow / Presidio","French","83 reviews",0:00
"Basil Canteen @ 11th Street","http://www.opentable.com/basil-canteen?p=4&sd=2014-11-14 19:30&rid=27466&pt=100,100,100,100,100&d=11/14/2014 19:00:00,11/14/2014 19:30:00,11/14/2014 20:00:00,11/14/2014 18:30:00,11/14/2014 20:30:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","SOMA","Thai","31 reviews",0:00
"Slow Club","http://www.opentable.com/slow-club?p=4&sd=2014-11-14 19:30&rid=34255&pt=100,100,100,100,100&d=11/14/2014 19:15:00,11/14/2014 19:30:00,11/14/2014 19:45:00,11/14/2014 19:00:00,11/14/2014 20:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Mission","Contemporary American","108 reviews",0:00
"Jeanne D'Arc - Cornell Hotel De France","http://www.opentable.com/jeanne-darc-cornell-hotel-de-france?p=4&sd=2014-11-14 19:30&rid=36082&pt=100,100,100,100,100&d=11/14/2014 18:00:00,,11/14/2014 20:00:00,11/14/2014 17:30:00,11/14/2014 20:30:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Nob Hill","French","32 reviews",2:00
"Jai Yun","http://www.opentable.com/jai-yun?p=4&sd=2014-11-14 19:30&rid=37849&pt=100,100,100,100,100&d=11/14/2014 19:15:00,11/14/2014 19:30:00,11/14/2014 19:45:00,11/14/2014 19:00:00,11/14/2014 20:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Downtown / Union Square","Chinese","6 reviews",0:00
"Barbacco","http://www.opentable.com/barbacco?p=4&sd=2014-11-14 19:30&rid=38935&pt=100,100,100,100,100&d=11/14/2014 17:45:00,,11/14/2014 20:00:00,11/14/2014 17:30:00,11/14/2014 20:15:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Financial District / Embarcadero","Italian","242 reviews",2:15
"Caffe Delucchi","http://www.opentable.com/caffe-delucchi?p=4&sd=2014-11-14 19:30&rid=40714&pt=100,100,100,100,100&d=11/14/2014 19:15:00,11/14/2014 19:30:00,11/14/2014 19:45:00,11/14/2014 19:00:00,11/14/2014 20:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","North Beach","Italian","27 reviews",0:00
"Sinbad's Pier II Restaurant","http://www.opentable.com/sinbads-pier-ii-restaurant?p=4&sd=2014-11-14 19:30&rid=44104&pt=100,100,100,100,100&d=11/14/2014 19:15:00,11/14/2014 19:30:00,11/14/2014 19:45:00,11/14/2014 19:00:00,11/14/2014 20:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Financial District / Embarcadero","Seafood","44 reviews",0:00
"Bar Agricole","http://www.opentable.com/bar-agricole?p=4&sd=2014-11-14 19:30&rid=47617&pt=100,100,100,100,100&d=11/14/2014 19:15:00,,11/14/2014 20:15:00,11/14/2014 19:00:00,11/14/2014 20:30:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","SOMA","Californian","157 reviews",1:00
"Hayes Street Grill","http://www.opentable.com/hayes-street-grill?p=4&sd=2014-11-14 19:30&rid=48010&pt=100,100,100,100,100&d=11/14/2014 19:15:00,11/14/2014 19:30:00,11/14/2014 19:45:00,11/14/2014 19:00:00,11/14/2014 20:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Civic Center / Hayes Valley / Van Ness","Seafood","210 reviews",0:00
"Baker Street Bistro","http://www.opentable.com/baker-street-bistro?p=4&sd=2014-11-14 19:30&rid=49474&pt=100,100,100,100,100&d=11/14/2014 19:00:00,11/14/2014 19:30:00,11/14/2014 20:00:00,11/14/2014 18:30:00,11/14/2014 20:30:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Marina / Cow Hollow / Presidio","French","101 reviews",0:00
"Skool","http://www.opentable.com/skool?p=4&sd=2014-11-14 19:30&rid=51181&pt=100,100,100,100,100&d=11/14/2014 18:45:00,11/14/2014 19:30:00,11/14/2014 19:45:00,11/14/2014 18:30:00,11/14/2014 20:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","SOMA","Seafood","88 reviews",0:00
"Rose's Cafe","http://www.opentable.com/roses-cafe?p=4&sd=2014-11-14 19:30&rid=53254&pt=100,100,100,100,100&d=11/14/2014 19:15:00,11/14/2014 19:30:00,11/14/2014 19:45:00,11/14/2014 19:00:00,11/14/2014 20:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Marina / Cow Hollow / Presidio","Californian","34 reviews",0:00
"Kiji Sushi Bar and Cuisine","http://www.opentable.com/kiji-sushi-bar-and-cuisine?p=4&sd=2014-11-14 19:30&rid=55939&pt=100,100,100,100,100&d=11/14/2014 19:00:00,11/14/2014 19:30:00,11/14/2014 20:00:00,11/14/2014 18:30:00,11/14/2014 20:30:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Mission","Sushi","23 reviews",0:00
"The Front Porch - San Francisco","http://www.opentable.com/the-front-porch-san-francisco?p=4&sd=2014-11-14 19:30&rid=57979&pt=100,100,100,100,100&d=11/14/2014 17:30:00,11/14/2014 19:30:00,11/14/2014 19:45:00,,11/14/2014 20:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Bernal Heights","Creole / Cajun / Southern","130 reviews",0:31
"Canela Bistro Bar","http://www.opentable.com/canela-bistro-bar?p=4&sd=2014-11-14 19:30&rid=76396&pt=100,100,100,100,100&d=11/14/2014 19:15:00,11/14/2014 19:30:00,11/14/2014 19:45:00,11/14/2014 19:00:00,11/14/2014 20:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Castro","Spanish","89 reviews",0:00
"Central Kitchen","http://www.opentable.com/central-kitchen?p=4&sd=2014-11-14 19:30&rid=79243&pt=100,100,100,100,100&d=11/14/2014 18:00:00,,11/14/2014 21:30:00,11/14/2014 17:45:00,11/14/2014 22:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Mission","Contemporary American","169 reviews",3:30
"PLAJ","http://www.opentable.com/plaj?p=4&sd=2014-11-14 19:30&rid=89905&pt=100,100,100,100,100&d=,,11/14/2014 21:00:00,,11/14/2014 21:15:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Civic Center / Hayes Valley / Van Ness","Scandinavian","204 reviews",4:01
"Sauce: Belden","http://www.opentable.com/sauce-belden?p=4&sd=2014-11-14 19:30&rid=93316&pt=100,100,100,100,100&d=11/14/2014 19:15:00,11/14/2014 19:30:00,11/14/2014 19:45:00,11/14/2014 19:00:00,11/14/2014 20:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Financial District / Embarcadero","American","47 reviews",0:00
"Hakkasan San Francisco","http://www.opentable.com/hakkasan-san-francisco?p=4&sd=2014-11-14 19:30&rid=95704&pt=100,100,100,100,100&d=11/14/2014 18:30:00,,11/14/2014 20:30:00,11/14/2014 18:00:00,11/14/2014 21:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Financial District / Embarcadero","Chinese","201 reviews",2:00
"St. Vincent","http://www.opentable.com/st-vincent?p=4&sd=2014-11-14 19:30&rid=96136&pt=100,100,100,100,100&d=11/14/2014 18:00:00,,11/14/2014 21:00:00,11/14/2014 17:45:00,11/14/2014 21:15:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Mission","American","57 reviews",3:00
"Fior D'Italia","http://www.opentable.com/fior-d-italia-san-francisco?p=4&sd=2014-11-14 19:30&rid=99472&pt=100,100,100,100,100&d=11/14/2014 19:15:00,11/14/2014 19:30:00,11/14/2014 19:45:00,11/14/2014 19:00:00,11/14/2014 20:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","North Beach","Italian","83 reviews",0:00
"Piccino","http://www.opentable.com/piccino?p=4&sd=2014-11-14 19:30&rid=100033&pt=100,100,100,100,100&d=11/14/2014 17:30:00,,11/14/2014 21:00:00,11/14/2014 17:15:00,11/14/2014 21:15:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Potrero Hill / Dogpatch","Californian","202 reviews",3:30
"Southpaw BBQ","http://www.opentable.com/southpaw-bbq?p=4&sd=2014-11-14 19:30&rid=102160&pt=100,100,100,100,100&d=11/14/2014 19:15:00,,11/14/2014 19:45:00,11/14/2014 19:00:00,11/14/2014 20:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Mission","Barbecue","37 reviews",0:30
"Scoma's Restaurant","http://www.opentable.com/scomas-restaurant?p=4&sd=2014-11-14 19:30&rid=102280&pt=100,100,100,100,100&d=11/14/2014 18:15:00,,11/14/2014 20:15:00,11/14/2014 18:00:00,11/14/2014 20:30:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Fisherman's Wharf","Seafood","496 reviews",2:00
"Noir Lounge","http://www.opentable.com/noir-lounge?p=4&sd=2014-11-14 19:30&rid=103996&pt=100,100,100,100,100&d=11/14/2014 19:15:00,11/14/2014 19:30:00,11/14/2014 19:45:00,11/14/2014 19:00:00,11/14/2014 20:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Civic Center / Hayes Valley / Van Ness","American","5 reviews",0:00
"Brasserie S&P","http://www.opentable.com/brasserie-s-and-p?p=4&sd=2014-11-14 19:30&rid=117&pt=100,100,100,100,100&d=11/14/2014 19:15:00,11/14/2014 19:30:00,11/14/2014 19:45:00,11/14/2014 19:00:00,11/14/2014 20:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Financial District / Embarcadero","Californian","19 reviews",0:00
"Velvet Room","http://www.opentable.com/velvet-room?p=4&sd=2014-11-14 19:30&rid=1748&pt=100,100,100,100,100&d=11/14/2014 19:00:00,11/14/2014 19:30:00,11/14/2014 19:45:00,11/14/2014 18:30:00,11/14/2014 20:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Downtown / Union Square","Californian","30 reviews",0:00
"Tonga Room & Hurricane Bar - Fairmont San Francisco","http://www.opentable.com/tonga-room-and-hurricane-bar-fairmont-san-francisco?p=4&sd=2014-11-14 19:30&rid=2509&pt=100,100,100,100,100&d=11/14/2014 18:30:00,,11/14/2014 20:15:00,11/14/2014 18:15:00,11/14/2014 20:30:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Nob Hill","Asian","168 reviews",1:45
"BOURBON STEAK San Francisco","http://www.opentable.com/bourbon-steak-san-francisco?p=4&sd=2014-11-14 19:30&rid=3009&pt=100,100,100,100,100&d=11/14/2014 19:15:00,,11/14/2014 19:45:00,11/14/2014 19:00:00,11/14/2014 20:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Downtown / Union Square","Steakhouse","109 reviews",0:30
"Cafe Claude - Downtown","http://www.opentable.com/cafe-claude-downtown?p=4&sd=2014-11-14 19:30&rid=3592&pt=100,100,100,100,100&d=11/14/2014 19:15:00,11/14/2014 19:30:00,11/14/2014 19:45:00,11/14/2014 18:45:00,11/14/2014 20:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Downtown / Union Square","French","194 reviews",0:00
"Sauce: Gough","http://www.opentable.com/sauce-gough?p=4&sd=2014-11-14 19:30&rid=4058&pt=100,100,100,100,100&d=11/14/2014 19:15:00,11/14/2014 19:30:00,11/14/2014 19:45:00,11/14/2014 19:00:00,11/14/2014 20:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Civic Center / Hayes Valley / Van Ness","American","128 reviews",0:00
"Chouquet's","http://www.opentable.com/chouquets?p=4&sd=2014-11-14 19:30&rid=4127&pt=100,100,100,100,100&d=11/14/2014 19:00:00,11/14/2014 19:30:00,11/14/2014 21:00:00,11/14/2014 18:30:00,&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Pacific Heights","French","45 reviews",1:01
"Players Sports Grill & Arcade","http://www.opentable.com/players-sports-grill-and-arcade?p=4&sd=2014-11-14 19:30&rid=40531&pt=100,100,100,100,100&d=11/14/2014 19:00:00,11/14/2014 19:30:00,11/14/2014 20:00:00,11/14/2014 18:30:00,11/14/2014 20:30:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Fisherman's Wharf","Contemporary American","13 reviews",0:00
"2G Japanese Brasserie","http://www.opentable.com/2g-japanese-brasserie?p=4&sd=2014-11-14 19:30&rid=43429&pt=100,100,100,100,100&d=11/14/2014 19:15:00,11/14/2014 19:30:00,11/14/2014 19:45:00,11/14/2014 19:00:00,11/14/2014 20:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Civic Center / Hayes Valley / Van Ness","Japanese","8 reviews",0:00
"Tandoori Mahal - Financial District","http://www.opentable.com/tandoori-mahal-financial-district?p=4&sd=2014-11-14 19:30&rid=45031&pt=100,100,100,100,100&d=11/14/2014 19:15:00,11/14/2014 19:30:00,11/14/2014 19:45:00,11/14/2014 19:00:00,11/14/2014 20:00:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Financial District / Embarcadero","Indian","",0:00
"Contigo","http://www.opentable.com/contigo?p=4&sd=2014-11-14 19:30&rid=45052&pt=100,100,100,100,100&d=11/14/2014 18:15:00,,11/14/2014 21:00:00,11/14/2014 18:00:00,11/14/2014 21:15:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Noe Valley","Tapas / Small Plates","120 reviews",2:45
"Limon Rotisserie - Valencia","http://www.opentable.com/limon-rotisserie-valencia?p=4&sd=2014-11-14 19:30&rid=47881&pt=100,100,100,100,100&d=11/14/2014 18:30:00,,11/14/2014 21:00:00,11/14/2014 18:00:00,11/14/2014 21:30:00&ofbs=,,,,&dt=2014-11-14T19:30:00Z","Mission","Peruvian","107 reviews",2:30
